Name,HIP,Bayer ID
Sadr,100453,γ Cyg
Peacock,100751,α Pav
Aldulfin,101421,ε Del
Rotanev,101769,β Del
Sualocin,101958,α Del
Deneb,102098,α Cyg
Aljanah,102488,ε Cyg
Albali,102618,ε Aqr
Musica,103527,18 Del
Polaris Australis,104382,σ Oct
Kitalpha,104987,α Equ
Alderamin,105199,α Cep
Alfirk,106032,β Cep
Sadalsuud,106278,β Aqr
Bunda,106786,ξ Aqr
Sāmaya,106824,
Nashira,106985,γ Cap
Azelfafage,107136,π1 Cyg
Bosona,107251,
Garnet Star,107259,µ Cep
Enif,107315,ε Peg
Deneb Algedi,107556,δ Cap
Aldhanab,108085,γ Gru
Itonda,108375,
Kurhah,108917,ξ Cep
Sadalmelik,109074,α Aqr
Alnair,109268,α Gru
Biham,109427,θ Peg
Ancha,110003,θ Aqr
Lang-Exster,110130,α Tuc
Sadachbia,110395,γ Aqr
Lionrock,110813,
Stellio,111169,α Lac
Situla,111710,κ Aqr
Homam,112029,ζ Peg
Tiaki,112122,β Gru
Matar,112158,η Peg
Sadalbari,112748,μ Peg
Skat,113136,δ Aqr
Tengshe,113288,
Helvetios,113357,51 Peg
Fomalhaut,113368,α PsA
Scheat,113881,β Peg
Fumalsamakah,113889,β Psc
Markab,113963,α Peg
Ebla,114322,
Salm,115250,τ Peg
Alkarab,115623,υ Peg
Veritate,116076,14 And
Poerava,116084,
Errai,116727,γ Cep
Axólotl,118319,
Regor,39953,γ Vel.
Muhlifain,61932,γ Cen
Nán Mén,66657,ε Cen
Kù Lóu èr,71352,η Cen
Girtab,86670,κ Sco
Tiān Shì Yòu Yuán shíyī,81377,ζ Oph
Mǎ Wěi sān,59196,δ Cen
